mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;porcentage_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
البقالطة;البقالطة;Liste partisane;Afek Tounes;أفاق تونس;33;0.00734966592427617;0;8349;127;55;4490;4672
الحبابسة;الحبابسة;Liste partisane;Afek Tounes;أفاق تونس;349;0.430864197530864;5;2680;108;19;810;937
الحشاشنة;الحشاشنة;Liste partisane;Afek Tounes;أفاق تونس;65;0.0299677270631627;0;6922;147;68;2169;2384
الحكائمة;الحكايمة;Liste partisane;Afek Tounes;أفاق تونس;263;0.137696335078534;3;4960;133;40;1910;2083
الرجیش;الرجيش;Liste partisane;Afek Tounes;أفاق تونس;184;0.0635139799792889;1;5454;53;74;2897;3024
الروحیة;الروحية;Liste partisane;Afek Tounes;أفاق تونس;266;0.0812461820403177;2;7749;332;86;3274;3692
الزھور;الزهور;Liste partisane;Afek Tounes;أفاق تونس;117;0.0354868061874431;1;8661;149;53;3297;3499
الصمعة;الصمعة;Liste partisane;Afek Tounes;أفاق تونس;48;0.0186263096623981;0;4634;94;45;2577;2716
القلعة الكبرى;القلعة الكبرى;Liste partisane;Afek Tounes;أفاق تونس;2389;0.289330265229502;9;22671;276;123;8257;8656
الھواریة;الهوارية;Liste partisane;Afek Tounes;أفاق تونس;238;0.0611196712891628;2;13798;192;101;3894;4187
برقو;برقو;Liste partisane;Afek Tounes;أفاق تونس;217;0.0730393806799058;1;6758;160;43;2971;3174
بوحجر;بوحجر;Liste partisane;Afek Tounes;أفاق تونس;742;0.391350210970464;5;3396;56;27;1896;1979
بورویس;بورويس;Liste partisane;Afek Tounes;أفاق تونس;143;0.0506553312079348;1;6659;136;130;2823;3089
بومرداس;بومرداس;Liste partisane;Afek Tounes;أفاق تونس;616;0.156782896411301;3;7255;133;52;3929;4114
تالة;تالة;Liste partisane;Afek Tounes;أفاق تونس;650;0.151197953012328;3;16363;362;102;4299;4763
جرجیس;جرجيس;Liste partisane;Afek Tounes;أفاق تونس;373;0.0447617904716189;1;21168;220;105;8333;8658
جمال;جمال;Liste partisane;Afek Tounes;أفاق تونس;314;0.0355444872085126;1;22244;194;75;8834;9103
حمام سوسة;حمام سوسة;Liste partisane;Afek Tounes;أفاق تونس;1958;0.195214356929212;5;26781;294;179;10030;10503
دخیلة توجان;دخيلة توجان;Liste partisane;Afek Tounes;أفاق تونس;162;0.0734028092433167;1;4691;67;45;2207;2319
دوار ھیشر;دوار هيشر;Liste partisane;Afek Tounes;أفاق تونس;1105;0.161762553066901;5;31394;644;172;6831;7647
رأس الجبل;رأس الجبل;Liste partisane;Afek Tounes;أفاق تونس;283;0.0574502639058059;1;15724;232;107;4926;5265
رواد;روّاد;Liste partisane;Afek Tounes;أفاق تونس;1737;0.139900128865979;5;43079;305;258;12416;12979
زاویة قنطش;زاوية قنطش;Liste partisane;Afek Tounes;أفاق تونس;263;0.14985754985755;2;3486;38;22;1755;1815
سجنان;سجنان;Liste partisane;Afek Tounes;أفاق تونس;697;0.175213675213675;3;10470;278;85;3978;4341
سیدي بوعلي;سيدي بوعلي;Liste partisane;Afek Tounes;أفاق تونس;357;0.0775918278635079;1;9478;159;72;4601;4832
شربان;شربان;Liste partisane;Afek Tounes;أفاق تونس;772;0.180711610486891;4;11395;296;110;4272;4678
شط مریم;شط مريم;Liste partisane;Afek Tounes;أفاق تونس;339;0.219417475728155;3;3376;70;41;1545;1656
صیادة;صيادة;Liste partisane;Afek Tounes;أفاق تونس;273;0.0741646291768541;1;7951;109;57;3681;3847
طوزة;طوزة;Liste partisane;Afek Tounes;أفاق تونس;48;0.0238924838227974;0;4059;27;9;2009;2045
عمیرة التوازرة;عميرة التوازرة;Liste partisane;Afek Tounes;أفاق تونس;201;0.118794326241135;1;3144;39;57;1692;1788
عین جلولة;عين جلولة;Liste partisane;Afek Tounes;أفاق تونس;174;0.119015047879617;1;3894;89;38;1462;1589
غار الملح;غار الملح;Liste partisane;Afek Tounes;أفاق تونس;405;0.244712990936556;3;4539;57;57;1655;1769
غزالة;غزالة;Liste partisane;Afek Tounes;أفاق تونس;384;0.196018376722818;5;10562;237;64;1959;2260
غنادة;غنادة;Liste partisane;Afek Tounes;أفاق تونس;156;0.0840064620355412;1;2720;72;28;1857;1957
قربة;قربة;Liste partisane;Afek Tounes;أفاق تونس;553;0.0600108518719479;2;24931;303;163;9215;9681
قصور الساف;قصور الساف;Liste partisane;Afek Tounes;أفاق تونس;871;0.148939808481532;4;15764;91;93;5848;6032
قعفور;قعفور;Liste partisane;Afek Tounes;أفاق تونس;247;0.0843867441065938;1;8989;205;74;2927;3206
قلعة الأندلس;قلعة الأندلس;Liste partisane;Afek Tounes;أفاق تونس;212;0.0420468068226894;1;11075;143;65;5042;5250
قلیبیة;قليبية;Liste partisane;Afek Tounes;أفاق تونس;195;0.0204316848281643;0;24622;231;120;9544;9895
كركر;كركر;Liste partisane;Afek Tounes;أفاق تونس;180;0.0527240773286467;1;7198;106;54;3414;3574
كسرى;كسرى;Liste partisane;Afek Tounes;أفاق تونس;98;0.0404457284358234;1;7794;207;72;2423;2702
نفطة;نفطة;Liste partisane;Afek Tounes;أفاق تونس;118;0.0226966724370071;0;15608;143;78;5199;5420
ھبیرة;هبيرة;Liste partisane;Afek Tounes;أفاق تونس;321;0.166839916839917;3;5037;195;64;1924;2183
