GOV_EN;allreg_male_sum;allreg_female_sum;reg_18_35;reg_36_40;reg_41_60;reg_p_60;allreg_sum;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes;POP;chair;area
Ariana;132779;126354;80078;30697;99363;48995;259133;259137;2116;1607;78242;81965;576088;210;416.03
Beja;77487;69375;41095;14591;56391;34785;146862;145454;2508;1129;43985;47622;306029;234;3269.118
Ben Arous;157811;150339;93946;33602;122068;58534;308150;308154;3613;1895;96755;102263;631842;336;661.197
Bizerte;134991;123854;75947;26481;100175;56242;258845;264847;4277;1892;75288;81457;568219;366;3523.49
Gabes;95398;96421;64466;21152;70254;35947;191819;191820;2144;1201;62500;65845;374336;312;7338.14
Gafsa;94650;83788;63303;20458;64898;29779;178438;178439;2452;916;67446;70814;337331;258;7607.91
Jendouba;95792;83898;53481;17181;66064;42964;179690;179690;3100;1251;46535;50886;386428;288;2968.603
Kairouan;136204;111488;80836;27913;92254;46689;247692;247697;4592;1557;82571;88720;570559;390;6453.752
Kasserine;125329;109669;93411;25980;77281;38326;234998;235001;4076;1526;87247;92849;503775;402;8205.85
Kebili;44345;48492;35011;11132;30785;15909;92837;92837;1164;681;33923;35768;156961;150;23103.69
Le Kef;64995;60955;35124;11355;48336;31135;125950;125972;2980;1048;41164;45192;243156;252;5104.577
Mahdia;96906;83947;61494;19457;66574;33328;180853;180847;2992;1493;71748;76233;410812;366;3229.347
Manouba;93308;87311;56080;20022;68545;35972;180619;180619;2764;1237;50072;54073;379518;234;1142.26
Medenine;115850;99462;70688;25921;79791;38912;215312;215313;2101;1171;76754;80026;479520;258;9304.249
Monastir;137912;132051;98062;30488;99989;41424;269963;269321;3255;1655;121287;126197;548837;516;1107.57
Nabeul;211198;190188;130692;43840;153782;73072;401386;401056;5408;2845;154153;162406;787920;570;2861.159
Sfax;261891;217193;155886;52528;182683;87987;479084;478997;4594;2790;165312;172696;957892;522;6991.748
Sidi Bouzid;127009;111386;91636;27549;80039;39171;238395;235397;2904;1358;78678;82940;429912;324;7151.075
Siliana;58963;49922;33165;11255;40453;24012;108885;107812;2295;948;37982;41225;223087;222;4679.922
Sousse;157349;142394;99951;34909;114171;50712;299743;299744;4077;2005;110977;117059;610439;366;2186.37
Tataouine;34654;31017;24480;7503;21911;11777;65671;65781;548;311;18033;18892;149453;120;37920.3
Tozeur;33780;35355;27111;7659;24087;10278;69135;69136;880;439;23615;24934;107912;96;6054.89
Tunis;267163;270498;155742;57346;209188;115385;537661;537667;4698;3442;143135;151275;1055977;240;262.82
Zaghouan;56239;50248;36179;12460;38447;19401;106487;106487;2023;972;43459;46454;207281;180;3191.28
