gov;registered;perc;voters
Ariana;259133;33;85514
Beja;146862;31;45527
Ben Arous;308150;33;101690
Bizerte;258845;29;75065
Gabes;191819;34;65218
Gafsa;178438;36;64238
Jendouba;196134;28;54918
Kairouan;247692;33;81738
Kasserine;226337;33;74691
Kebili;92837;37;34350
Le Kef;125950;35;44083
Mahdia;180853;41;74150
Manouba;180619;29;52380
Medenine;215312;35;75359
Monastir;269963;46;124183
Nabeul 1;220921;31;68486
Nabeul 2;180465;36;64967
Sfax 1;186556;37;69026
Sfax 2;292528;32;93609
Sidi Bouzid;238395;35;83438
Siliana;108885;37;40287
Sousse;308404;36;111025
Tataouine;65671;28;18388
Tozeur;69135;31;21432
Tunis 1;366251;26;95225
Tunis 2;171410;33;56565
Zaghouan;90043;43;38718
